ID,Organisation,Sector,Subsector,Service,Province_CODE,Municipality_CODE,Barangay,Status,Beneficiaries,Beneficiary_type
183,PRC,Relief,Non-Food Item,Blanket,1444,144403,,Finished,53,Families
184,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144403,Balili,Finished,1,Families
185,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144404,Dalican,Finished,5,Families
186,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144404,Samoki,Finished,1,Families
187,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144404,Poblacion,Finished,5,Families
188,PRC,Relief,Food Items,Food (2-3 day) Ration,1444,144404,Sapang Bayan,Finished,86,Families
189,PRC,Relief,Food Items,Food (2-3 day) Ration,1444,144404,Gatbuca,Finished,51,Families
190,IFRC,Assessment,Assessment,Assessment,1444,144404,,Finished,1,Municipality
191,IFRC,Relief,Non-Food Item,Mosquito Net,1444,144404,Cabaruan,Finished,26,Families
192,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144404,Balili,Finished,1,Families
193,IFRC,Relief,Non-Food Item,Blanket,1444,144404,Laya West,Finished,52,Families
195,IFRC,Relief,Non-Food Item,Mosquito Net,1444,144404,Laya East ,Finished,7,Families
196,IFRC,Relief,Non-Food Item,Blanket,1444,144404,Balong,Finished,32,Families
197,NZAID,WASH,Non-Food Item,Hygiene Kit,1444,144404,Ipil,Finished,52,Families
198,NZAID,WASH,Non-Food Item,Hygiene Kit,1444,144404,Agbannawag,Finished,31,Families
199,Unknown,Health,PSS,Welfare Desk,1444,144404,Poblacion,Finished,1,
200,IFRC,Relief,Non-Food Item,Mosquito Net,1444,144404,Calinaoan Sur,Finished,37,Families
201,IFRC,Relief,Non-Food Item,Mosquito Net,1444,144404,Sto. Rosario,Finished,30,Families
202,IFRC,Relief,Non-Food Item,Blanket,1444,144404,Concepcion,Finished,19,Families
203,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144404,Concepcion,Finished,19,Families
204,IFRC,WASH,Non-Food Item,Hygiene Kit,1444,144404,Santor,Finished,46,Families
205,PRC,Relief,Non-Food Item,Plastic Mat,1444,144404,Gonogon,Finished,6,Families
206,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144404,Gonogon,Finished,6,Families
207,NZAID,WASH,Non-Food Item,Hygiene Kit,1444,144404,Gonogon,Finished,6,Families
208,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144404,Gonogon,Finished,6,Families
209,PRC,Relief,Non-Food Item,Blanket,1444,144404,Mainit,Finished,1,Families
210,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144404,Mainit,Finished,1,Families
211,PRC,Relief,Non-Food Item,Plastic Mat,1444,144404,Mainit,Finished,1,Families
212,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144404,Mainit,Finished,1,Families
213,NZAID,WASH,Non-Food Item,Hygiene Kit,1444,144404,Mainit,Finished,1,Families
214,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144404,Mainit,Finished,1,Families
215,PRC,Relief,Non-Food Item,Blanket,1444,144404,Samoki,Finished,1,Families
216,NZAID,Relief,Non-Food Item,Mosquito Net,1444,144404,Samoki,Finished,1,Families
217,PRC,Relief,Non-Food Item,Plastic Mat,1444,144404,Samoki,Finished,1,Families
218,NZAID,WASH,Non-Food Item,Jerry Can (20L),1444,144404,Samoki,Finished,1,Families
219,IFRC,Relief,Non-Food Item,Mosquito Net,1444,144404,San Nicolas,Finished,23,Families
220,IFRC,Relief,Non-Food Item,Mosquito Net,1444,144404,San Macario,Finished,45,Families
221,IFRC,Relief,Non-Food Item,Mosquito Net,1444,144404,Aga,Finished,24,Families
222,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144404,Villa Luz,Finished,46,Families
223,IFRC,WASH,Non-Food Item,Hygiene Kit,1444,144404,Ragan Sur,Finished,44,Families
224,IFRC,WASH,Non-Food Item,Hygiene Kit,1444,144404,Ragan Norte,Finished,31,Families
225,PRC,Relief,Non-Food Item,Doll Shoes,1444,144404,San Antonio,Finished,192,Students
226,PRC,Health,PSS,Psychosocial Support,1444,144404,South Poblacion,Finished,48,Individuals
227,PRC,WASH,Hygiene Promotion,Hygiene Promotion,1444,144404,,Finished,501,Individuals
228,PRC,Relief,Hot Meals,Hot Meals,1444,144404,South Poblacion,Finished,545,Individuals
229,PRC,WASH,Hygiene Promotion,Hygiene Promotion,1444,144404,Roma Norte,Finished,630,Individuals
230,PRC,WASH,Hygiene Promotion,Hygiene Promotion,1444,144404,Caaoacan,Finished,58,Individuals
231,NZAID,WASH,Non-Food Item,Hygiene Kit,1444,144404,Bonto Ili,Finished,1,Families
232,IFRC,Shelter,Non-Food Item,Tarpaulin,1444,144404,Bonto Ili,Finished,1,Families
233,IFRC,Assessment,Assessment,Assessment,1401,140103,,Finished,1,Municipality
234,PRC,Assessment,Assessment,Assessment,128,12806,,Finished,1,Municipality
235,IFRC,Assessment,Assessment,Assessment,231,23106,,Finished,1,Municipality
236,IFRC,Assessment,Assessment,Assessment,349,34903,,Finished,1,Municipality
237,PRC,Health,PSS,Welfare Desk,349,34903,,Finished,2,Evacuation Center
238,PRC,Relief,Hot Meals,Hot Meals,349,34903,Sangitan Este,Finished,249,Individuals
239,PRC,Relief,Hot Meals,Hot Meals,349,34903,Bonifacio,Finished,295,Individuals
240,PRC,Health,PSS,Welfare Desk,257,25702,San Marcos,Finished,1,Chapter
241,IFRC,Assessment,Assessment,Assessment,1481,148104,,Finished,1,Municipality
242,PRC,Relief,Hot Meals,Bread,314,31407,,Finished,28,Individuals
243,IFRC,Relief,Non-Food Item,Plastic Mat,314,31407,Pusian,Finished,140,Families
244,IFRC,Relief,Non-Food Item,Plastic Mat,314,31407,Agani,Finished,205,Families
245,PRC,Relief,Non-Food Item,Blanket,314,31407,Casilian,Finished,50,Families
246,Singapore Red Cross,Relief,Food Items,Food (2-3 day) Ration,314,31407,San Geronimo,Finished,3,Families
247,IFRC,Relief,Non-Food Item,Mosquito Net,314,31407,Mocag,Finished,128,Families
248,PRC,Health,PSS,Psychosocial Support,314,31407,Poblacion,Finished,70,Individuals
249,PRC,Health,PSS,Psychosocial Support,314,31407,Gatbuca,Finished,30,Individuals
250,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,129,12907,Puro,Finished,387,Families
251,IFRC,Assessment,Assessment,Assessment,231,23108,,Finished,1,Municipality
252,PRC,Health,PSS,Psychosocial Support,377,37702,Esperanza,Finished,34,Individuals
253,PRC,Health,PSS,Psychosocial Support,377,37702,Culat,Finished,63,Individuals
254,PRC,Relief,Hot Meals,Biscuits,377,37702,,Finished,1424,Individuals
255,Singapore RC,Relief,Food Items,Food (2-3 day) Ration,155,15503,Cosili West,Finished,50,Families
256,NZAID,WASH,Non-Food Item,Jerry Can (20L),1432,143213,Guindazan Central,Finished,1,Families
257,PRC,Relief,Non-Food Item,Blanket,1432,143213,Mabaay,Finished,1,Families
258,NZAID,WASH,Non-Food Item,Jerry Can (20L),1432,143213,Mayag,Finished,1,Families
259,NZAID,Relief,Non-Food Item,Mosquito Net,1432,143213,Abatan,Finished,1,Families
260,IFRC,Shelter,Non-Food Item,Tarpaulin,1432,143213,Abatan,Finished,1,Families
261,NZAID,WASH,Non-Food Item,Hygiene Kit,1432,143213,Gueday,Finished,7,Families
262,PRC,Relief,Non-Food Item,Plastic Mat,1432,143213,,Finished,20,Families
263,NZAID,WASH,Non-Food Item,Hygiene Kit,1432,143213,Balili,Finished,1,Families
264,NZAID,WASH,Non-Food Item,Hygiene Kit,1432,143213,Dalican,Finished,5,Families
265,PRC,Relief,Non-Food Item,Blanket,1432,143213,Poblacion,Finished,5,Families
266,PRC,Relief,Non-Food Item,Blanket,1432,143213,Bonto Ili,Finished,1,Families
267,PRC,Relief,Food Items,Food (2-3 day) Ration,1432,143213,Poblacion,Finished,31,Families
268,PRC,Relief,Food Items,Food (2-3 day) Ration,1432,143213,San Miguel,Finished,20,Families
269,PRC,Health,PSS,Welfare Desk,1432,143213,Bulanao Norte,Finished,1,Chapter
270,IFRC,Relief,Non-Food Item,Plastic Mat,1432,143213,Cabaruan,Finished,26,Families
271,IFRC,Relief,Non-Food Item,Mosquito Net,1432,143213,Laya West,Finished,52,Families
273,IFRC,Relief,Non-Food Item,Plastic Mat,1432,143213,Laya East ,Finished,7,Families
274,PRC,Relief,Non-Food Item,Mosquito Net,1432,143213,Balong,Finished,45,Families
275,PRC,Relief,Non-Food Item,Blanket,1432,143213,Balong,Finished,13,Families
276,NZAID,WASH,Non-Food Item,Jerry Can (20L),1432,143213,Balong,Finished,13,Families
278,PRC,Assessment,Assessment,Assessment,1432,143213,,Finished,1,Municipality
279,IFRC,Relief,Non-Food Item,Plastic Mat,1432,143213,Calinaoan Sur,Finished,37,Families
280,IFRC,Relief,Non-Food Item,Plastic Mat,1432,143213,Sto. Rosario,Finished,30,Families
281,IFRC,Relief,Non-Food Item,Mosquito Net,1432,143213,Concepcion,Finished,19,Families
282,IFRC,Relief,Non-Food Item,Blanket,1432,143213,Santor,Finished,46,Families
283,IFRC,Shelter,Non-Food Item,Tarpaulin,1432,143213,Santor,Finished,46,Families
284,IFRC,Relief,Non-Food Item,Plastic Mat,1432,143213,San Nicolas,Finished,23,Families
285,IFRC,Relief,Non-Food Item,Plastic Mat,1432,143213,San Macario,Finished,45,Families
286,IFRC,Relief,Non-Food Item,Plastic Mat,1432,143213,Aga,Finished,24,Families
287,IFRC,Relief,Non-Food Item,Blanket,1432,143213,Ragan Sur,Finished,44,Families
288,IFRC,Shelter,Non-Food Item,Tarpaulin,1432,143213,Ragan Sur,Finished,44,Families
289,IFRC,Shelter,Non-Food Item,Tarpaulin,1432,143213,Ragan Norte,Finished,31,Families
290,PRC,Relief,Non-Food Item,Doll Shoes,1432,143213,Andarayan,Finished,80,Students
291,PRC,Health,PSS,Psychosocial Support,1432,143213,North Poblacion,Finished,42,Individuals
292,IFRC,Relief,Non-Food Item,Plastic Mat,1432,143213,Ipil,Finished,52,Families
293,PRC,Relief,Hot Meals,Biscuits,1432,143213,South Poblacion,Finished,545,Individuals
294,PRC,Relief,Hot Meals,Hot Meals,1432,143213,North Poblacion,Finished,103,Individuals
295,IFRC,Assessment,Assessment,Detailed Assessment,1432,143213,,Finished,1,Municipality
296,PRC,Relief,Non-Food Item,Plastic Mat,1432,143213,,Finished,60,Families
297,PRC,Health,PSS,Welfare Desk,1432,143213,,Finished,1,Chapter
298,PRC,Relief,Hot Meals,Juice,1432,143213,Caaoacan,Finished,109,Individuals
299,PRC,Relief,Hot Meals,Bread,1432,143213,"Barangay No. 29, Santo Tomas",Finished,115,Individuals
